"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7646","Invalid login - invalid username invalid password","chromium","2026-09-14","passed","2026-09-14","","Login.spec.js","",""
"","12369","Valid Login","chromium","2026-09-14","passed","2026-09-14","","Login.spec.js","",""
"","3338","SignUp - Click close button","chromium","2026-09-14","passed","2026-09-14","","SignUp.spec.js","",""
"","9899","Product - Phones purchase","chromium","2026-09-14","passed","2026-09-14","","Placeorder.spec.js","",""
"","5743","LogOut","chromium","2026-09-14","passed","2026-09-14","","Logout.spec.js","",""
"","7366","Invalid Login- valid username invalid password","chromium","2026-09-14","passed","2026-09-14","","Login.spec.js","",""
"","8449","Invalid Login - invalid username valid password","chromium","2026-09-14","passed","2026-09-14","","Login.spec.js","",""
"","2478","Sign Up - Click Sign up button","chromium","2026-09-14","passed","2026-09-14","","SignUp.spec.js","",""
"","7181","Product - Laptop purchase","chromium","2026-09-14","passed","2026-09-14","","Placeorder.spec.js","",""
"","9611","Product - Monitors purchase","chromium","2026-09-14","passed","2026-09-14","","Placeorder.spec.js","",""
